block,blockHash,timestamp,poolId,size,price,amountOut,reason
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,fluid_dex:0x91716c4eda1fb55e84bf8b4c7085f84285c19085:0x836951eb21f3df98273517b7249dceff270d34bf,1,1513.203276,1513203276,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,fluid_dex:0x91716c4eda1fb55e84bf8b4c7085f84285c19085:0x836951eb21f3df98273517b7249dceff270d34bf,10,1513.125537,15131255369,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,fluid_dex:0x91716c4eda1fb55e84bf8b4c7085f84285c19085:0x836951eb21f3df98273517b7249dceff270d34bf,100,1512.35177,151235176960,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,pancake_v3:0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865:0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,1,1267.286489,1267286489,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,pancake_v3:0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865:0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,10,,,"insufficient tick coverage: needed word 88, loaded [71,87]"
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,pancake_v3:0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865:0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,100,,,"insufficient tick coverage: needed word 88, loaded [71,87]"
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,uniswap_v2:0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f:0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1,1510.263625,1510263625,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,uniswap_v2:0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f:0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,10,1507.905045,15079050448,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,uniswap_v2:0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f:0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,100,1484.718183,148471818318,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,uniswap_v3:0x1f98431c8ad98523631ae4a59f267346ea31f984:0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,1,1510.838626,1510838626,
22215221,0xce50ab384c9789e5f5d40d765c6dc2d0868686935959e84e608f151a74befd88,2025-04-07T06:24:59Z,uniswap_v3:0x1f98431c8ad98523631ae4a59f267346ea31f984:0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,10,1473.480494,14734804941,
